"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "PostCSS", "TypeScript JSX", "YAML", "XML", "Docker", "JavaScript", "Prisma", "Ignore", "JavaScript JSX", "HTML", "MS SQL", "comment", "blank", "total"
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\auth\dto\login.dto.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\auth\dto\register.dto.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\auth\spec\auth.service.spec.ts", "TypeScript", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 187
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\auth\strategies\jwt.strategy.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\auth\types.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\commands\booking.commands.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\commands\cancel-status.handler.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\commands\complete-status.handler.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\commands\confirm-status.handler.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\commands\create-booking.handler.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\commands\expire-status.handler.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\commands\pay-status.handler.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\commands\reject-status.handler.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\dto\create-booking.dto.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\dto\searchParams.dto.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\events\completedEvent.handler.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\interfaces.ts\TransactionRepo.interface.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\mappers\booking.mapper.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\queries\booking.query.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\queries\getBookingById.query.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\queries\getBookingsByProperty.query.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\application\queries\getMyBookings.query.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\booking.controller.ts", "TypeScript", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 97
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\booking.module.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 38
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\domain\entities\booking.entity.ts", "TypeScript", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 147
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\domain\events\booking.events.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\domain\repo-interfaces\IBookingRepo.interface.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\domain\value-objects\domainDate.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\infrastructure\bullmq\expired.worker.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\infrastructure\repo\PrismaBooking.repository.ts", "TypeScript", 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 115
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\infrastructure\repo\PrismaBooking.select.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\infrastructure\repo\PrismaBookingQuery.repository.ts", "TypeScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 94
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\infrastructure\repo\Transaction.repository.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\infrastructure\scheduller\complete-statuses.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\booking\spec\bookingDomain.spec.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 58
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\propertyType\application\dto\propertyType.dto.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\propertyType\application\propertyType.service.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\propertyType\domain\repo-interface\IPropertyTypeRepo.interface.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\propertyType\infrastructure\repo\PrismaPropertyType.repository.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\propertyType\propertyType.controller.ts", "TypeScript", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 61
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\propertyType\propertyType.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\propertyType\spec\propertyType.service.spec.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 117
"c:\Users\Andriisav\Desktop\portfolio projects\booking\backend\src\modules\property\application\commands\create-property.handler.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
